,address_line,approved_contractor,domestic_installer,email,name,pat,post_code,post_town,start_of_post_code,telephone,url
0,108 Holywell Hill,0,1,marchorton77@gmail.com,Marc Horton Electrical,0,AL1 1DH,St. Albans,AL1,07813 772946,
1,101 Sopwell Lane,1,1,matt@staticelectricalservices.com,Static Electrical Services Ltd,1,AL1 1RN,St Albans,AL1,07963560776,www.staticelectricalservices.com
2,"Flat 1,14 Prospect Road",0,1,info@db-renovations.co.uk,D B Renovations Ltd,0,AL1 2AX,St Albans,AL1,07882472056,
3,14 Liverpool Road,1,1,jimmy_atkinson@hotmail.com,Electrical Technology UK Ltd,1,AL1 3UJ,St. Albans,AL1,,
4,"Park Villa,60 Stanhope Road",1,1,orders@solutionstadltd.com,Solutions Tad Ltd,1,AL1 5BL,St Albans,AL1,01923 856 978,www.solutionstadltd.com
5,22 Kenton Gardens,0,1,tminstallationsltd@yahoo.co.uk,TM Installations Ltd,0,AL1 1JS,St Albans,AL1,07940001789,
6,134 Dellfield,0,1,pmccallion@talktalk.net,Celmain Limited,0,AL1 5HB,St. Albans,AL1,01727 867614,
7,1 Kempe Close,0,1,brennan.electrical.uk@gmail.com,Brennan Electrical,0,AL1 2NZ,St.Albans,AL1,07776375161,
8,"New Barnes Mill,Cottonmill Lane",1,1,Harry@hollywell.co.uk,Hollywell Building Services Ltd,1,AL1 2HA,St. Albans,AL1,01727 810555,
9,1 Woodstock Road North,1,1,antonleto22@outlook.com,ADL Electrical,1,AL1 4QB,St. Albans,AL1,07810771020,
10,39 Salisbury Avenue,0,1,craigajoyce@hotmail.co.uk,Craig Joyce,0,AL1 4TZ,St. Albans,AL1,07941504853,
11,2 Burleigh Road,1,1,info@deen-electrical.co.uk,Deen Electrical Services Limited,1,AL1 5DH,St. Albans,AL1,07845038846,www.deen-electrical.co.uk
12,61 The Park,1,1,david.b@dmbelectrical.com,DMB Electrical Solutions Ltd,1,AL1 4RX,St Albans,AL1,,
13,25 Napsbury Park,1,1,info@ddservicesuk.com,D D Services,1,AL1 1DU,St Albans,AL1,07961744336,
14,88 Stockbreach Road,1,1,whbelectrical@aol.com,W H B Electrical Ltd,1,AL10 0BE,Hatfield,AL10,07876406923,
15,98 Old Rectory Drive,1,1,peter@interplanltd.co.uk,Interplan Electrics Ltd,1,AL10 8FE,Hatfield,AL10,01442 217900,www.interplanltd.co.uk
16,"Unit 26,Fiddlebridge Industrial Centre, Lemsford",1,1,info@lec-limited.co.uk,Lightning Electrical Contractors,1,AL10 0DE,Hatfield,AL10,01707 242868,
17,18 - 19 Fiddlebridge Industrial Centre,1,1,admin@elekcell.co.uk,Elekcell UK Ltd,1,AL10 0DE,Hatfield,AL10,01707707180,
18,89 Lemsford Road,1,1,Electriglideltd@gmail.com,ElectriGlide Ltd,1,AL10 0DZ,Hatfield,AL10,07989988097,
